E780,E660,E785,E116,I10X
69,64,66,81,67
58,54,71,69,39
82,76,85,74,44
83,59,81,73,70
88,59,72,60,84
74,57,44,74,38
47,54,54,61,59
56,62,64,67,56
77,70,73,40,62
68,54,58,59,44
59,80,55,84,37
62,68,63,55,59
52,60,80,69,52
71,55,36,60,49
84,93,82,57,55
68,55,68,66,90
77,79,87,51,87
77,68,60,74,86
59,71,76,50,60
73,63,83,55,53
68,67,55,57,55
73,55,56,64,76
82,88,60,66,46
91,82,51,88,49
66,46,58,72,73
68,61,83,44,83
87,60,71,70,74
78,52,71,46,50
42,75,64,66,68
68,38,35,53,59
67,66,53,62,83
68,44,79,54,33
82,80,62,75,76
75,84,85,64,67
68,71,54,79,64
51,46,56,67,36
49,62,76,56,65
51,57,78,63,68
81,64,71,56,52
65,68,51,58,74
80,65,87,65,88
76,70,62,73,49
63,57,92,83,68
78,70,74,74,82
63,91,59,88,65
83,65,74,75,89
83,56,71,72,63
78,59,85,79,80
66,73,91,73,94
72,54,82,74,73
76,53,65,63,41
67,53,57,86,43
72,57,71,72,74
68,83,65,73,36
88,53,80,66,54
65,67,55,74,41
71,71,70,85,68
54,85,84,75,76
68,68,52,78,37
64,64,76,63,77
82,61,77,68,38
71,82,64,73,62
53,71,89,67,61
55,50,76,55,86
66,76,64,56,81
79,54,89,62,46
69,73,73,51,56
71,82,63,70,85
51,55,81,60,56
33,87,41,36,59
84,58,38,77,74
68,60,67,73,75
68,54,78,92,39
73,76,47,64,66
67,53,67,61,75
81,74,79,60,75
88,59,50,45,81
60,66,60,87,51
62,65,43,65,77
53,70,67,97,59
63,73,79,74,66
74,21,80,65,38
76,63,63,77,79
86,69,81,56,53
64,78,66,74,40
47,63,77,71,68
54,87,50,78,62
60,83,69,70,71
87,61,62,71,87
56,67,61,57,62
85,62,78,56,27
61,68,48,77,44
76,70,72,57,79
74,61,72,58,77
74,81,82,82,74
91,68,73,69,85
72,58,83,76,48
45,72,66,53,62
75,66,60,71,62
84,64,79,65,62
71,67,78,90,84
89,71,74,81,59
74,63,51,68,63
90,75,77,88,68
70,56,79,81,76
47,74,65,75,61
65,86,54,67,77
50,79,62,78,95
67,74,58,63,60
73,63,61,63,33
61,88,71,48,62
52,65,58,74,72
83,55,61,44,56
82,54,93,59,74
66,53,88,72,77
73,48,70,68,43
69,65,59,71,75
55,78,67,58,63
61,65,68,79,84
70,67,80,78,23
89,92,87,62,52
56,71,89,68,53
72,58,54,58,90
82,52,82,74,82
62,65,61,73,43
80,64,54,59,55
84,86,69,67,65
64,73,50,69,64
61,54,58,59,43
42,58,79,55,49
61,79,56,74,88
74,85,53,70,43
82,75,69,57,77
52,74,63,65,54
77,60,55,76,69
64,70,78,70,94
87,72,67,48,57
56,59,70,47,64
60,85,73,57,55
60,61,81,81,52
72,60,57,52,64
69,54,69,62,48
64,67,50,59,84
64,44,79,64,93
76,51,75,59,63
95,62,64,73,93
48,78,72,77,67
44,76,60,67,41
55,62,72,86,37
79,73,74,36,49
69,77,44,70,67
58,47,51,72,67
64,79,63,27,76
79,75,61,73,39
58,71,82,86,79
69,48,64,70,73
74,46,60,74,90
83,80,53,58,59
59,60,81,63,69
75,65,50,87,49
69,85,58,77,76
78,51,70,77,73
70,63,60,49,73
76,52,65,82,49
87,57,73,66,73
82,79,35,54,37
57,59,95,83,84
85,43,62,94,68
77,65,75,58,65
63,86,61,54,85
87,68,59,80,42
68,78,56,97,86
79,57,71,61,53
84,78,85,71,27
78,57,76,81,56
69,74,60,70,65
65,85,54,71,47
49,33,71,68,75
58,84,89,67,67
77,62,49,76,54
40,55,58,76,58
74,69,80,60,76
87,48,55,56,60
68,71,78,92,39
81,50,60,64,82
45,70,81,67,60
72,46,70,37,41
72,34,70,56,63
66,66,59,66,48
74,92,67,59,76
73,69,55,48,77
79,68,61,78,84
83,68,63,83,37
69,48,59,63,88
61,67,60,70,57
57,92,85,72,83
62,78,79,77,65
53,66,65,71,87
77,69,83,54,56
91,46,74,71,83
70,46,59,81,85
78,56,78,70,56
68,68,71,82,91
61,67,65,88,1
60,55,46,49,47
63,59,53,76,73
61,53,66,51,37
53,77,57,79,50
66,83,57,48,71
76,66,54,75,59
85,58,61,72,60
92,61,54,55,67
73,70,67,81,75
77,76,65,87,87
71,51,60,38,49
78,53,73,78,52
58,65,66,75,56
68,63,52,81,52
66,70,77,66,91
70,64,75,61,47
60,75,60,60,49
78,80,65,63,37
65,75,63,72,63
61,56,82,82,28
57,60,62,79,30
70,74,60,65,63
65,60,43,63,53
79,67,49,75,33
80,61,88,63,68
45,61,75,81,71
44,90,59,69,35
64,69,47,78,63
49,66,73,62,92
79,60,90,57,48
69,62,58,75,45
60,66,75,69,84
47,61,69,88,32
65,46,64,76,45
60,76,53,81,42
61,58,55,75,64
67,91,66,85,73
100,79,66,65,66
49,71,90,68,71
47,65,49,85,77
74,76,68,65,41
52,71,71,55,72
69,50,56,73,62
69,61,31,51,55
53,53,68,67,40
72,76,46,59,59
61,34,60,65,77
61,62,79,60,35
81,63,90,73,56
58,68,63,60,47
62,71,67,55,57
65,73,45,69,86
68,61,79,53,57
74,82,91,74,70
61,40,86,66,76
68,63,58,35,58
91,72,69,60,56
59,63,65,52,51
57,67,65,62,61
80,41,66,69,56
67,55,60,82,48
68,58,56,83,53
85,69,64,75,70
81,65,66,83,48
78,93,78,58,56
60,35,60,86,46
50,69,71,64,67
53,59,53,54,82
65,62,76,76,65
59,63,54,70,75
57,66,81,63,47
60,85,71,56,39
63,58,78,72,80
67,57,51,57,84
79,74,57,77,73
44,49,76,75,51
52,47,60,72,74
51,75,41,52,62
86,70,85,60,51
66,71,64,75,86
80,52,79,60,53
72,74,76,56,38
66,70,50,73,46
59,63,68,78,58
65,81,62,64,73
67,79,44,37,83
77,55,75,75,43
62,65,62,73,63
85,63,53,93,59
68,62,74,69,74
61,72,60,72,68
57,64,71,75,66
63,59,85,63,93
71,61,85,81,81
84,68,56,86,73
79,61,72,61,51
67,72,62,68,61
84,83,69,71,56
79,60,73,77,45
82,58,61,53,73
72,71,70,70,84
88,17,64,86,49
57,64,60,67,71
72,63,61,61,62
69,65,68,77,75
54,58,67,68,53
66,79,50,82,70
66,85,76,65,69
61,50,83,64,73
59,63,62,65,61
53,58,48,58,23
78,58,82,55,45
64,53,68,69,87
89,53,56,77,83
91,72,62,89,60
61,58,38,55,61
86,79,56,55,57
62,79,74,59,37
70,62,58,68,83
78,86,89,63,53
84,49,91,67,72
66,44,61,51,77
54,58,58,58,58
88,58,79,70,54
62,56,81,61,80
57,75,38,76,55
66,69,71,76,59
60,56,85,70,75
52,65,81,70,79
44,61,68,73,72
65,54,62,75,68
63,57,60,48,52
82,70,73,49,47
72,48,63,71,67
53,66,56,80,47
72,36,69,92,68
62,59,60,65,47
44,63,42,61,33
45,63,78,75,66
61,63,60,71,64
83,59,94,73,50
63,51,41,56,66
52,57,53,89,55
80,67,58,40,63
60,68,77,85,53
74,69,43,80,74
77,38,56,73,45
59,46,75,79,46
78,68,44,86,24
80,68,76,52,94
53,75,61,38,38
48,63,56,68,59
79,74,78,77,48
61,78,60,68,82
77,32,64,60,46
62,65,55,58,63
85,73,54,81,53
60,50,67,77,62
62,66,85,85,76
83,56,66,69,69
66,59,88,68,77
73,60,79,75,40
58,65,65,73,78
78,63,89,66,52
88,57,55,89,78
83,61,82,70,83
76,66,75,78,50
85,74,78,63,73
64,61,66,72,55
82,67,68,64,75
61,67,87,89,80
63,64,94,68,40
77,63,65,78,65
50,62,77,71,53
55,60,61,61,83
60,91,51,75,77
81,66,64,85,66
61,59,75,83,44
75,78,78,77,70
84,57,84,66,31
60,77,79,39,45
50,49,83,87,77
60,63,77,77,59
83,54,86,65,62
74,70,76,57,68
85,81,67,74,27
57,82,52,61,74
53,59,79,69,85
82,81,63,76,44
76,67,73,48,80
77,78,59,65,83
62,74,77,69,85
60,43,75,64,67
92,60,61,66,89
68,54,60,82,53
56,68,83,83,86
71,61,57,84,52
67,48,54,62,79
56,57,49,88,50
51,73,59,54,65
67,68,82,78,62
71,77,54,67,49
85,57,59,53,65
53,61,62,71,64
50,72,40,57,38
87,53,81,58,80
89,83,79,81,82
84,48,72,83,33
76,79,65,65,52
70,36,64,87,89
78,64,69,73,79
78,80,63,67,42
68,83,43,70,84
79,42,55,70,79
71,45,86,88,87
75,69,62,65,70
57,67,80,67,61
70,52,54,56,42
64,63,87,57,38
94,51,41,60,45
61,48,72,71,83
74,71,68,55,61
62,66,66,71,52
93,69,81,67,75
65,58,59,57,62
56,62,78,77,72
49,55,61,70,44
62,25,86,77,63
80,71,59,77,92
71,71,71,70,41
78,53,65,51,61
66,79,49,82,72
78,80,86,66,69
66,75,53,63,50
81,77,63,77,74
91,66,65,61,44
55,79,57,84,90
68,82,50,88,50
72,65,83,52,74
64,68,44,65,71
79,66,79,91,85
58,89,80,76,66
83,75,70,59,68
75,66,58,78,60
85,61,27,67,90
65,72,65,67,64
57,74,76,45,83
52,72,76,76,32
88,61,74,93,84
69,87,73,62,40
55,54,65,57,72
61,64,79,68,48
62,69,60,62,35
76,75,76,64,66
74,74,61,61,62
66,73,80,63,38
86,59,44,72,24
76,87,75,77,84
79,65,77,79,46
71,61,53,67,63
81,49,75,53,60
71,77,51,64,26
57,72,51,67,62
83,82,69,62,46
72,78,60,50,79
80,38,62,86,28
94,56,72,71,44
56,85,42,74,57
